Date;mm
Wednesday 08Jan-14;2,0
Tuesday 14Jan-14;31,0
Thursday 16Jan-14;6,0
Monday 20Jan-14;2,0
Tuesday 21Jan-14;1,0
Saturday 25Jan-14;1,5
Sunday 26Jan-14;12,5
Saturday 01Feb-14;12,5
Sunday 02Feb-14;16,0
Monday 03Feb-14;42,0
Friday 07Feb-14;22,0
Sunday 09Feb-14;46,0
Friday 14Feb-14;1,1
Saturday 15Feb-14;2,5
Thursday 20Feb-14;6,0
Friday 21Feb-14;2,2
Saturday 22Feb-14;31,0
Sunday 23Feb-14;0,8
Monday 24Feb-14;2,0
Tuesday 25Feb-14;10,0
Wednesday 26Feb-14;0,7
Sunday 02Mar-14;6,0
Monday 03Mar-14;10,2
Tuesday 04Mar-14;100,0
Wednesday 05Mar-14;40,9
Thursday 06Mar-14;5,0
Saturday 08Mar-14;3,0
Sunday 09Mar-14;1,1
Monday 10Mar-14;20,0
Tuesday 11Mar-14;58,0
Wednesday 12Mar-14;30,0
Thursday 13Mar-14;2,0
Friday 14Mar-14;2,0
Saturday 15Mar-14;0,2
Tuesday 18Mar-14;10,0
Wednesday 19Mar-14;1,2
Saturday 29Mar-14;2,0
Monday 31Mar-14;10,2
Thursday 03Apr-14;7,0
Tuesday 15Apr-14;2,0
Monday 30Jun-14;11,0
Sunday 17Aug-14;12,0
Sunday 21Sept-14;0,5
Monday 29Sept-14;1,0
Sunday 26Oct-14;34,0
Monday 03Nov-14;2,5
Tuesday 04Nov-14;4,5
Sunday 09Nov-14;7,0
Tuesday 11Nov-14;13,8
Wednesday 12Nov-14;4,0
Thursday 13Nov-14;2,2
Sunday 16Nov-14;18,0
Monday 17Nov-14;3,0
Tuesday 18Nov-14;11,0
Sunday 23Nov-14;3,0
Monday 24Nov-14;9,0
Tuesday 25Nov-14;1,0
Thursday 27Nov-14;32,0
Sunday 30Nov-14;8,0
Monday 01Dec-14;6,9
Sunday 07Dec-14;1,0
Monday 08Dec-14;4,8
Tuesday 09Dec-14;21,0
Wednesday 10Dec-14;16,0
Thursday 11Dec-14;7,0
Friday 12Dec-14;8,0
Saturday 13Dec-14;9,0
Sunday 14Dec-14;18,0
Tuesday 16Dec-14;25,0
Wednesday 17Dec-14;1,0
Thursday 18Dec-14;2,0
Friday 19Dec-14;48,0
Saturday 20Dec-14;19,0
Monday 22Dec-14;4,8
Wednesday 24Dec-14;40,0
Thursday 25Dec-14;1,0
Friday 26Dec-14;8,0
Saturday 27Dec-14;8,5
Sunday 28Dec-14;38,0
Monday 29Dec-14;3,0
Thursday 01Jan-15;6,0
Friday 02Jan-15;1,0
Sunday 04Jan-15;8,5
Monday 05Jan-15;0,2
Thursday 08Jan-15;1,0
Saturday 10Jan-15;3,8
Thursday 15Jan-15;28,0
Tuesday 20Jan-15;0,8
Friday 23Jan-15;0,2
Monday 26Jan-15;1,4
Wednesday 28Jan-15;8,0
Thursday 29Jan-15;6,8
Friday 30Jan-15;0,8
Sunday 01Feb-15;1,8
Saturday 07Feb-15;0,2
Monday 09Feb-15;1,0
Saturday 14Feb-15;4,8
Tuesday 17Feb-15;46,0
Wednesday 25Feb-15;3,8
Monday 02Mar-15;1,6
Sunday 08Mar-15;4,5
Monday 16Mar-15;18,0
Thursday 19Mar-15;38,0
Friday 20Mar-15;22,0
Sunday 22Mar-15;55,0
Monday 23Mar-15;14,0
Wednesday 25Mar-15;2,1
Thursday 26Mar-15;4,5
Tuesday 07Apr-15;4,0
Wednesday 08Apr-15;16,0
Thursday 09Apr-15;4,0
Friday 10Apr-15;0,4
Friday 24Jul-15;5,0
Saturday 25Jul-15;5,0
Friday 04Sept-15;10,0
Saturday 05Sept-15;43,0
Sunday 06Sept-15;5,0
Saturday 19Sept-15;1,0
Friday 25Sept-15;3,0
Thursday 15Oct-15;4,1
Friday 16Oct-15;7,9
Sunday 25Oct-15;6,0
Monday 26Oct-15;2,7
Tuesday 27Oct-15;10,5
Saturday 14Nov-15;0,8
Sunday 15Nov-15;0,8
Tuesday 17Nov-15;10,0
Wednesday 18Nov-15;11,0
Friday 20Nov-15;18,0
Saturday 21Nov-15;22,0
Thursday 03Dec-15;4,8
Friday 04Dec-15;9,9
Saturday 05Dec-15;3,8
Tuesday 08Dec-15;2,2
Saturday 12Dec-15;30,0
Tuesday 15Dec-15;22,0
Friday 18Dec-15;1,5
Tuesday 22Dec-15;8,0
Friday 25Dec-15;1,0
Sunday 27Dec-15;3,0
Saturday 02Jan-16;3,9
Saturday 09Jan-16;32,0
Sunday 10Jan-16;14,0
Tuesday 12Jan-16;34,0
Wednesday 13Jan-16;5,9
Thursday 14Jan-16;2,7
Saturday 16Jan-16;15,0
Thursday 21Jan-16;15,0
Sunday 24Jan-16;20,0
Friday 05Feb-16;0,7
Sunday 07Feb-16;6,5
Tuesday 09Feb-16;3,0
Thursday 18Feb-16;20,0
Friday 19Feb-16;10,1
Thursday 25Feb-16;20,0
Friday 26Feb-16;3,0
Saturday 27Feb-16;9,0
Wednesday 02Mar-16;1,4
Wednesday 09Mar-16;2,5
Thursday 10Mar-16;165,0
Friday 11Mar-16;22,0
Saturday 12Mar-16;36,0
Sunday 13Mar-16;35,8
Thursday 17Mar-16;9,0
Friday 18Mar-16;40,0
Thursday 07Apr-16;8,0
Friday 22Apr-16;1,5
Wednesday 27Apr-16;8,0
Tuesday 10May-16;0,2
Sunday 15May-16;40,0
Monday 16May-16;18,0
Monday 13Jun-16;6,0
Tuesday 14Jun-16;11,5
Tuesday 26Jul-16;6,0
Wednesday 27Jul-16;2,0
Sunday 18Sept-16;6,8
Wednesday 28Sept-16;2,0
Sunday 09Oct-16;2,8
Sunday 16Oct-16;4,5
Wednesday 19Oct-16;11,8
Thursday 20Oct-16;10,0
Friday 21Oct-16;16,0
Saturday 22Oct-16;18,2
Sunday 23Oct-16;31,0
Thursday 27Oct-16;40,0
Tuesday 01Nov-16;1,7
Thursday 03Nov-16;6,3
Tuesday 08Nov-16;1,6
Thursday 10Nov-16;1,5
Friday 11Nov-16;68,5
Saturday 12Nov-16;24,0
Tuesday 15Nov-16;2,7
Wednesday 16Nov-16;0,2
Sunday 20Nov-16;3,0
Monday 21Nov-16;7,0
Wednesday 23Nov-16;1,0
Saturday 26Nov-16;8,0
Sunday 27Nov-16;1,5
Monday 28Nov-16;3,0
