Date;mm
Friday 12Jan-24;9,0
Saturday 13Jan-24;14,0
Sunday 14Jan-24;12,0
Monday 15Jan-24;11,5
Wednesday 17Jan-24;36,0
Thursday 18Jan-24;9,0
Friday 26Jan-24;5,8
Saturday 27Jan-24;1,5
Monday 29Jan-24;50,0
Tuesday 30Jan-24;36,0
Wednesday 31Jan-24;8,5
Sunday 04Feb-24;9,0
Friday 09Feb-24;16,0
Saturday 10Feb-24;3,0
Friday 16Feb-24;21,0
Monday 19Feb-24;16,0
Tuesday 20Feb-24;1,5
Wednesday 21Feb-24;30,0
Saturday 24Feb-24;2,0
Sunday 03Mar-24;2,5
Friday 08Mar-24;6,0
Saturday 09Mar-24;1,5
Monday 11Mar-24;24,0
Tuesday 12Mar-24;10,0
Thursday 21Mar-24;5,5
Thursday 04Apr-24;56,0
Sunday 07Apr-24;42,0
Tuesday 09Apr-24;16,0
Wednesday 10Apr-24;27,0
Saturday 27Apr-24;13,0
Tuesday 14May-24;1,0
Monday 03Jun-24;6,0
Saturday 28Sept-24;2,0
Wednesday 16Oct-24;32,0
Monday 21Oct-24;6,0
Tuesday 22Oct-24;6,1
Monday 28Oct-24;3,8
Monday 04Nov-24;3,0
Friday 08Nov-24;29,0
Sunday 10Nov-24;9,0
Monday 11Nov-24;10,0
Wednesday 13Nov-24;12,0
Thursday 14Nov-24;50,0
Monday 18Nov-24;2,8
Tuesday 19Nov-24;5,0
Thursday 28Nov-24;6,0
Monday 09Dec-24;13,2
Friday 13Dec-24;0,8
Tuesday 17Dec-24;36,0
Wednesday 18Dec-24;25,0
Saturday 21Dec-24;0,5
Sunday 22Dec-24;3,2
Monday 23Dec-24;3,0
Tuesday 24Dec-24;5,0
Thursday 26Dec-24;2,0
Sunday 29Dec-24;32,0
Thursday 02Jan-25;50,0
Friday 03Jan-25;70,0
Monday 06Jan-25;9,0
Tuesday 07Jan-25;2,5
Wednesday 08Jan-25;3,0
Friday 10Jan-25;4,2
Saturday 11Jan-25;2,0
Sunday 12Jan-25;20,0
Monday 13Jan-25;14,0
Tuesday 14Jan-25;1,0
Wednesday 15Jan-25;0,5
Thursday 16Jan-25;7,0
Friday 17Jan-25;12,0
Friday 24Jan-25;0,3
Friday 31Jan-25;0,3
Saturday 01Feb-25;1,3
Monday 03Feb-25;2,0
Tuesday 04Feb-25;2,1
Monday 10Feb-25;1,2
Tuesday 11Feb-25;8,0
Wednesday 12Feb-25;0,2
Friday 14Feb-25;1,0
Sunday 16Feb-25;14,0
Monday 17Feb-25;8,0
Tuesday 18Feb-25;22,0
Wednesday 19Feb-25;53,0
Thursday 20Feb-25;60,0
Monday 24Feb-25;20,0
Friday 28Feb-25;0,2
Saturday 01Mar-25;9,0
Sunday 02Mar-25;23,0
Monday 03Mar-25;3,8
Sunday 09Mar-25;0,7
Monday 10Mar-25;2,0
Tuesday 11Mar-25;3,8
Wednesday 12Mar-25;10,0
Thursday 13Mar-25;20,0
Friday 14Mar-25;4,0
Saturday 15Mar-25;3,5
Sunday 16Mar-25;6,0
Monday 17Mar-25;1,9
Thursday 20Mar-25;2,0
Thursday 27Mar-25;1,0
Friday 28Mar-25;1,0
Saturday 29Mar-25;9,0
Thursday 03Apr-25;5,0
Friday 04Apr-25;28,0
Saturday 05Apr-25;3,0
Monday 07Apr-25;1,0
Thursday 10Apr-25;0,8
Wednesday 16Apr-25;7,0
Friday 18Apr-25;6,0
Sunday 20Apr-25;1,5
Thursday 24Apr-25;46,0
Friday 25Apr-25;5,0
Saturday 03May-25;6,0
Monday 09Jun-25;1,5
Saturday 05Jul-25;1,6
Saturday 26Jul-25;1,0
Thursday 07Aug-25;1,0
Friday 08Aug-25;3,0
Monday 29Sept-25;13,0
Friday 10Oct-25;10,0
Sunday 12Oct-25;4,0
Sunday 19Oct-25;8,0
Monday 20Oct-25;7,0
Tuesday 21Oct-25;7,0
Wednesday 29Oct-25;18,0
Thursday 30Oct-25;5,0
Friday 31Oct-25;12,0
Wednesday 05Nov-25;0,8
Friday 07Nov-25;2,5
Saturday 08Nov-25;9,0
Monday 10Nov-25;0,2
Tuesday 11Nov-25;9,9
Wednesday 12Nov-25;2,5
Sunday 16Nov-25;16,0
Monday 17Nov-25;17,0
Tuesday 18Nov-25;4,2
Wednesday 19Nov-25;1,9
Thursday 20Nov-25;3,0
Friday 21Nov-25;6,0
Monday 24Nov-25;29,0
Tuesday 25Nov-25;16,0
Wednesday 26Nov-25;22,0
Thursday 27Nov-25;27,0
Saturday 29Nov-25;6,0
Sunday 30Nov-25;22,0
Tuesday 02Dec-25;7,5
Wednesday 03Dec-25;9,0
Thursday 04Dec-25;3,0
Monday 08Dec-25;7,0
Tuesday 09Dec-25;10,0
Wednesday 10Dec-25;6,0
Thursday 11Dec-25;11,0
Saturday 13Dec-25;40,0
Wednesday 17Dec-25;15,0
Thursday 18Dec-25;10,0
Friday 19Dec-25;15,0
Saturday 20Dec-25;10,0
Sunday 21Dec-25;11,0
Monday 22Dec-25;20,0
Tuesday 23Dec-25;10,0
Wednesday 24Dec-25;16,0
Friday 26Dec-25;4,0
Saturday 27Dec-25;4,0
Monday 29Dec-25;4,0
Thursday 01Jan-26;5,0
Friday 02Jan-26;4,0
Sunday 04Jan-26;13,0
Monday 05Jan-26;3,0
